no,adv.comp,adv.acces,adv.comm,adv.qual,tut.prof,tut.sched,tut.stud,tut.qual,val.devel,val.deci,val.meet,val.info,sat.glad,sat.expe,sat.over
1,5,5,6,6,5,4,6,7,5,5,6,7,7,7,7
2,6,6,5,6,6,6,6,6,6,4,7,6,7,7,7
3,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6
4,1,2,1,1,3,2,1,1,1,1,1,2,1,1,1
5,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7
6,7,7,7,6,6,7,6,7,6,6,6,6,7,6,7
7,7,6,6,6,6,7,3,7,4,4,3,5,7,7,6
8,7,7,7,7,7,5,6,7,7,7,6,7,7,7,7
9,6,6,6,6,5,5,6,5,5,5,5,6,7,6,6
10,7,6,7,7,6,6,5,6,4,4,2,4,5,4,5
11,7,7,7,7,7,7,7,4,7,7,7,7,7,6,7
12,7,7,7,7,4,4,7,4,6,6,6,7,7,6,7
13,7,6,6,7,6,6,6,7,2,2,4,7,7,7,7
14,3,3,4,3,5,6,6,5,4,2,7,7,7,5,6
15,4,4,6,5,6,6,6,6,7,7,6,6,7,5,5
16,6,7,7,7,6,7,7,6,7,7,7,7,7,7,7
17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
18,6,6,5,5,4,6,6,5,7,7,7,7,7,7,7
19,7,7,7,7,4,4,4,5,6,4,7,7,7,7,7
20,6,7,6,7,4,4,7,7,6,7,7,7,7,7,7
21,6,6,6,6,4,4,3,4,6,6,6,6,7,6,7
22,6,6,6,6,5,6,6,5,4,4,5,6,7,6,6
23,7,7,7,7,4,2,3,3,5,5,5,5,6,6,6
24,6,6,7,6,5,4,6,5,6,6,6,7,7,6,6
25,5,6,6,6,6,6,5,6,7,6,6,6,7,7,7
26,7,7,6,7,7,7,7,7,6,6,5,6,7,5,6
27,7,7,7,7,6,5,7,6,7,7,7,7,7,7,7
28,6,7,6,6,6,5,4,5,5,5,5,6,7,6,7
29,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7
30,7,7,7,7,6,5,4,6,6,7,4,7,6,6,6
31,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7
32,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7
33,7,7,7,7,4,4,4,4,7,6,7,6,7,7,7
34,7,7,7,6,6,6,6,6,6,5,7,7,7,7,7
35,5,4,4,5,5,4,3,6,5,5,5,5,6,6,5
36,7,7,7,7,6,4,4,4,7,7,6,7,7,6,7
37,7,7,7,7,6,7,7,6,5,5,6,7,7,6,7
38,5,5,5,5,4,4,4,4,4,4,4,4,7,6,6
39,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7
40,7,7,7,7,6,6,6,6,6,6,6,7,7,7,7
41,7,7,5,6,6,5,7,6,4,5,6,7,7,7,7
42,7,7,7,7,4,5,4,5,7,6,5,5,7,5,6
43,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7
44,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7
45,7,7,7,7,7,4,7,7,6,7,6,7,7,7,7
46,6,6,6,6,4,4,4,4,5,5,5,6,7,5,7
47,5,6,5,5,5,5,5,5,5,4,6,6,7,6,6
48,6,7,7,7,7,4,4,6,4,4,4,4,7,6,6
49,7,7,7,7,5,7,5,5,7,7,7,7,7,6,7
50,6,7,6,6,6,6,7,7,7,7,7,7,7,7,7
51,7,7,7,7,4,4,4,4,4,4,6,6,7,7,7
52,6,7,6,6,5,6,7,6,6,6,7,7,7,7,6
53,7,7,7,7,5,3,5,5,6,6,7,7,7,7,7
54,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
55,6,5,6,6,6,4,5,6,5,5,4,6,7,6,5
56,7,7,7,7,6,7,6,7,6,5,6,6,7,7,7
57,5,7,6,6,5,3,6,7,3,3,4,6,5,5,5
58,6,5,5,6,6,7,5,6,6,5,5,6,7,6,6
59,7,7,7,7,5,5,4,5,5,7,5,7,7,7,7
60,7,7,7,7,7,5,5,7,6,7,7,7,7,7,7
61,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7
62,5,6,7,7,5,5,5,5,6,6,6,6,6,5,6
63,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7
64,7,7,7,7,7,7,7,7,6,6,5,7,7,6,7
65,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7
66,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7
67,7,7,7,7,7,6,7,7,7,6,6,7,7,7,7
68,7,7,7,7,7,7,7,7,3,3,5,7,7,7,7
69,7,7,7,7,5,7,7,5,4,4,4,7,7,7,7
70,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7
71,6,6,5,5,6,5,5,6,3,3,4,5,6,6,6
72,6,6,6,6,5,4,4,5,3,2,2,2,4,3,5
73,7,7,7,7,5,4,4,4,7,7,7,7,7,7,7
74,5,4,5,5,5,5,5,5,5,5,4,5,6,5,5
75,5,5,5,5,5,5,5,5,4,4,4,4,6,5,5
76,5,5,7,6,6,6,6,5,5,5,5,5,7,7,6
77,7,7,7,7,7,6,7,7,6,6,6,6,7,7,7
78,7,6,6,7,6,6,5,6,4,6,5,7,7,6,6
79,7,6,6,7,6,6,6,6,6,6,6,6,7,6,5
80,6,6,6,6,5,5,5,5,6,5,5,6,6,6,6
81,6,7,6,6,6,6,6,6,6,6,6,6,7,6,6
82,7,7,7,7,6,6,6,6,5,5,5,5,7,7,7
83,7,6,6,6,5,4,5,5,3,3,2,3,6,5,5
84,6,5,5,5,6,5,3,5,7,6,6,6,7,6,6
85,4,7,6,6,7,5,6,6,5,6,4,6,7,6,6
86,6,6,6,6,6,6,5,6,7,6,7,7,7,7,7
87,7,6,6,7,6,6,6,7,7,6,6,6,7,7,7
88,7,4,7,7,4,4,4,4,4,4,3,3,7,7,7
89,7,7,7,7,6,6,7,6,7,6,6,7,7,7,7
90,7,7,7,7,7,4,6,6,5,5,5,5,7,7,7
91,6,6,6,6,6,7,7,7,6,6,6,7,7,7,7
92,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
93,7,7,7,7,7,4,6,6,6,6,6,7,7,7,7
94,7,7,7,7,6,5,5,7,7,7,7,7,7,7,6
95,7,7,7,7,4,4,2,4,7,6,5,6,7,7,7
96,6,7,6,7,6,7,7,7,4,6,4,7,4,7,6
97,6,6,6,5,5,6,4,6,3,3,6,6,7,7,6
98,7,7,7,7,6,5,4,6,7,7,6,6,7,7,7
99,6,6,6,6,5,4,6,6,6,5,6,6,7,7,7
100,5,5,5,6,6,7,7,7,2,2,2,3,7,6,5
101,6,6,7,6,6,6,4,6,5,5,6,7,7,6,6
102,7,7,7,7,5,5,5,5,5,5,2,4,5,4,5
103,6,6,7,7,4,4,5,4,6,4,6,7,7,7,7
104,4,4,4,4,6,6,6,6,5,6,6,6,7,7,7
105,6,6,6,7,6,6,5,6,4,4,4,6,7,7,7
106,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7
107,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7
108,5,5,5,5,5,5,5,5,7,7,6,6,6,6,6
109,6,5,5,5,4,4,4,4,5,5,5,5,5,5,5
110,6,7,7,6,7,6,6,7,7,7,7,6,7,6,6
111,4,5,5,6,6,5,7,6,7,7,5,5,7,6,6
112,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7
113,6,7,5,6,6,4,5,6,1,2,2,5,6,5,5
114,7,7,7,7,6,5,6,5,5,4,4,6,7,7,5
115,7,6,6,6,6,4,6,6,5,3,2,5,7,5,6
116,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
117,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
118,6,7,7,7,6,6,7,6,7,7,7,7,7,6,7
119,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
120,7,7,7,7,6,6,7,7,5,4,6,6,7,6,7
121,6,7,6,6,7,6,7,7,7,6,6,6,7,7,7
122,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7
123,6,5,6,6,4,4,4,4,4,5,4,5,7,5,5
124,7,7,7,7,7,7,2,7,7,7,7,7,7,7,7
125,6,7,7,5,5,6,6,5,7,7,7,7,7,7,6
126,6,7,7,6,6,7,3,6,6,5,6,6,7,7,7
127,5,5,6,5,5,5,4,5,6,5,5,6,5,5,5
128,5,6,5,6,5,5,5,5,7,6,6,6,7,6,6
129,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7
130,7,7,7,7,6,6,6,1,4,6,5,7,7,7,7
131,6,5,5,6,4,5,4,6,5,5,5,5,7,4,6
132,6,7,7,7,4,4,4,6,5,5,6,6,6,6,6
133,7,7,7,7,7,6,5,7,7,7,7,7,7,7,7
134,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7
135,6,7,6,7,6,6,7,7,6,6,7,7,7,6,7
136,7,5,7,7,7,7,6,7,7,6,7,7,7,7,7
137,7,6,7,7,7,6,6,7,5,7,6,7,7,5,6
138,7,7,7,7,7,6,6,6,4,4,5,5,6,4,6
139,6,6,6,6,6,5,5,6,5,5,2,3,6,3,5
140,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7
141,6,6,6,6,6,5,5,6,4,4,6,6,6,5,5
142,7,7,7,7,6,5,6,6,4,4,6,7,7,7,6
143,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7
144,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7
145,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
146,6,5,7,6,6,6,5,6,7,7,7,7,7,6,6
147,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7
148,7,7,7,7,4,5,5,5,6,5,7,7,7,7,7
149,6,7,7,7,6,5,6,4,6,6,5,6,7,7,7
150,7,6,7,7,5,5,5,5,5,5,4,4,6,6,6
151,6,4,7,6,7,7,7,7,5,5,5,6,7,7,6
152,5,7,7,6,5,6,6,5,7,7,7,7,7,7,7
153,7,7,7,7,7,5,7,6,7,7,7,7,7,7,7
154,5,6,6,5,6,6,6,7,4,6,5,5,7,7,7
155,5,7,6,6,6,6,6,6,5,5,4,6,7,7,6
156,6,6,6,6,7,6,6,7,5,5,6,6,7,6,6
157,5,5,6,5,5,5,4,5,5,5,3,4,7,5,6
158,4,5,2,4,4,4,4,4,4,4,4,4,6,5,4
159,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
160,7,7,7,7,6,6,6,7,5,4,6,6,7,7,7
161,4,4,6,4,5,4,4,4,2,2,4,3,4,3,4
162,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7
163,4,5,5,5,6,6,6,6,5,5,5,5,6,5,6
164,7,6,6,7,6,6,6,6,6,6,6,6,7,7,6
165,7,6,6,6,6,5,7,3,7,7,5,6,7,7,6
166,5,7,7,7,6,6,6,6,6,6,6,6,7,7,7
167,6,6,6,6,6,6,6,6,4,5,5,6,7,6,7
168,6,7,7,7,7,6,6,7,4,7,4,7,7,7,7
169,7,5,6,6,5,5,4,5,7,5,4,6,6,6,6
170,7,7,7,7,7,6,6,7,7,7,5,6,7,7,7
171,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5
172,6,7,7,6,6,6,6,6,3,3,3,5,7,6,7
173,5,4,5,6,5,5,5,5,6,6,5,5,6,5,6
174,6,6,6,6,6,6,6,6,4,4,4,6,4,4,5
175,7,5,7,7,6,6,6,6,7,7,6,7,7,7,7
176,4,5,5,5,4,4,4,4,4,4,4,4,6,6,5
177,6,6,7,7,7,7,7,7,5,5,4,6,7,7,7
178,7,7,7,7,6,5,2,7,4,3,5,7,7,5,7
179,6,6,6,6,6,6,5,6,4,5,6,4,6,5,7
180,7,5,7,7,7,7,6,7,7,7,6,7,7,7,7
181,6,7,7,7,7,5,5,5,5,5,3,5,7,7,6
